"currency","mean_model","p","q","dist","aic","bic","lbz","lbz2c","lbz2a","persistence"
"CNY","ARMA(2,2)",3,3,"norm",1.55904923592626,1.59244898465706,0.450021072426625,0.0637167552882102,0.0251713238367833,0.906502715724916
"CNY","ARMA(2,2)",3,3,"std",1.52753838079623,1.56372144192127,0.501672505976825,3.16958026297387e-05,6.21874742212647e-06,0.935108727735308
"CNY","ARMA(2,2)",3,3,"sstd",1.5271068674311,1.56607324095037,0.506657498755046,7.96634192010703e-05,1.65592652779933e-05,0.938856868533897
"CNY","ARMA(2,2)",4,3,"norm",1.55191446572357,1.58809752684861,0.0470723216664729,0.11526440938112,0.0503266754522227,0.897335453583657
"CNY","ARMA(2,2)",4,3,"std",1.5280456362915,1.56701200981078,0.389173332562216,3.32244245755398e-05,6.53729579103146e-06,0.933048710222586
"CNY","ARMA(2,2)",4,3,"sstd",1.52827492546346,1.57002461137696,0.507526271087496,6.84235843747549e-05,1.40839279163529e-05,0.939084836474585
"CNY","ARMA(2,2)",1,4,"norm",1.54925258770223,1.5798690240388,0.114313334803827,0.0601373911953911,0.0235452009088337,0.85793154734158
"CNY","ARMA(2,2)",1,4,"std",1.52637073677704,1.55977048550785,0.500101502786044,1.38663083359969e-05,2.59167845406694e-06,0.928265195576344
"CNY","ARMA(2,2)",1,4,"sstd",1.52538487321821,1.56156793434325,0.396585060311514,2.0653013492633e-05,3.95009110298883e-06,0.931001991037186
"CNY","ARMA(2,2)",2,4,"norm",1.54938253957536,1.58278228830616,0.215062699200632,0.0165088804125325,0.00542964940042312,0.908928775642015
"CNY","ARMA(2,2)",2,4,"std",1.52662836774708,1.56281142887212,0.39049391899281,9.52278483057345e-06,1.74260229690582e-06,0.912976495394457
"CNY","ARMA(2,2)",2,4,"sstd",1.52698320974648,1.56594958326575,0.506495674743324,1.81221974959733e-05,3.43970519700587e-06,0.921766399818219
"CNY","ARMA(2,2)",3,4,"norm",1.5504232226884,1.58660628381344,0.145137954349554,0.0125190779140794,0.00398697408180504,0.912423182100184
"CNY","ARMA(2,2)",3,4,"std",1.52803653185503,1.5670029053743,0.513854776871923,2.61940027613816e-05,5.08077062510992e-06,0.907896163794065
"CNY","ARMA(2,2)",3,4,"sstd",1.52768757986371,1.56943726577722,0.518087098618688,3.74984397101263e-05,7.43290325788681e-06,0.913354713125825
"CNY","ARMA(2,2)",4,4,"norm",1.55234990954121,1.59131628306048,0.0609864789483493,0.0814826302726566,0.0334902516822393,0.886064249261532
"CNY","ARMA(2,2)",4,4,"std",1.52902908647695,1.57077877239045,0.51387834759464,2.61085701416253e-05,5.0632129274808e-06,0.907911809151465
"CNY","ARMA(2,2)",4,4,"sstd",1.52868013468266,1.57321313299039,0.518133568798324,3.7587273589601e-05,7.45159183790367e-06,0.913351959136596
"USD","ARMA(0,0)",1,1,"norm",1.84380093014789,1.85493417972482,0.733067371772966,0.00705617512627799,0.00211117457531562,0.976242367421616
"USD","ARMA(0,0)",1,1,"std",1.80230628665972,1.81622284863089,0.660873744802399,4.73858432159524e-07,7.44815046305192e-08,0.979848023857157
"USD","ARMA(0,0)",1,1,"sstd",1.80130815072818,1.81800802509358,0.659238527492798,3.0385831051305e-07,4.67981610130508e-08,0.980881508828823
"USD","ARMA(0,0)",2,1,"norm",1.84494975891967,1.85886632089084,0.733608876420073,0.0068128290677214,0.00203093553904587,0.976310538083138
"USD","ARMA(0,0)",2,1,"std",1.80338141403167,1.82008128839707,0.661681099164916,4.35157281097887e-07,6.81293430560004e-08,0.979909635376836
"USD","ARMA(0,0)",2,1,"sstd",1.80238184549423,1.82186503225387,0.660114402628181,2.81860084938579e-07,4.32629814195451e-08,0.980928649631438
"USD","ARMA(0,0)",3,1,"norm",1.84608718603158,1.86278706039698,0.7345081825537,0.00660239567848153,0.00196181885501467,0.976363794689207
"USD","ARMA(0,0)",3,1,"std",1.80444773550592,1.82393092226555,0.662728320473233,4.02574611313433e-07,6.28025822457801e-08,0.979963725321936
"USD","ARMA(0,0)",3,1,"sstd",1.80344550581688,1.82571200497075,0.661230006892736,2.64496570090422e-07,4.04817884769315e-08,0.980967400904811
"USD","ARMA(0,0)",4,1,"norm",1.84720536436124,1.86668855112088,0.735494180535005,0.006428042304925,0.00190474662029261,0.976408679407694
"USD","ARMA(0,0)",4,1,"std",1.80550208687011,1.82776858602398,0.663837500478771,3.77304639642695e-07,5.86855873896397e-08,0.980008199469558
"USD","ARMA(0,0)",4,1,"sstd",1.80449728619178,1.82954709773989,0.662399935102596,2.51877507184695e-07,3.84659095686857e-08,0.9809924203377
"USD","ARMA(0,0)",1,2,"norm",1.83915452919366,1.85307109116482,0.714909552651869,0.0230103355783984,0.0078823165045786,0.962270781110188
"USD","ARMA(0,0)",1,2,"std",1.8005123710869,1.8172122454523,0.640928868387595,1.47742752114599e-05,2.77140750271077e-06,0.965679020523324
"USD","ARMA(0,0)",1,2,"sstd",1.7991992208632,1.81868240762283,0.63665867070705,9.92297343604953e-06,1.81999860981996e-06,0.967248277416616
"USD","ARMA(0,0)",2,2,"norm",1.84014708849194,1.85684696285734,0.714911685596364,0.0230117680654093,0.0078828691598396,0.962271558063318
"USD","ARMA(0,0)",2,2,"std",1.8015049269059,1.82098811366554,0.640920476752204,1.47515664483677e-05,2.76690398925972e-06,0.965681991760884
"USD","ARMA(0,0)",2,2,"sstd",1.80019180041163,1.8224582995655,0.636652922132823,9.91239515635289e-06,1.81795036191534e-06,0.967249761916627
"USD","ARMA(0,0)",3,2,"norm",1.84126293658356,1.86074612334319,0.715680630403241,0.0224112187614519,0.00765162147743892,0.962273928447028
"USD","ARMA(0,0)",3,2,"std",1.80255338676154,1.82481988591541,0.641516720423555,1.37498981099826e-05,2.56868621095752e-06,0.965679703121695
"USD","ARMA(0,0)",3,2,"sstd",1.80123292291857,1.82628273446668,0.637263099549949,9.30768434415086e-06,1.70108085695286e-06,0.967224177795394
"USD","ARMA(0,0)",4,2,"norm",1.84239147094195,1.86465797009581,0.716874381384468,0.0220930278699508,0.00752946350296457,0.962365295518978
"USD","ARMA(0,0)",4,2,"std",1.80362894891345,1.82867876046155,0.642958173020618,1.32882289166636e-05,2.47761888239051e-06,0.965802041517912
"USD","ARMA(0,0)",4,2,"sstd",1.80230944679624,1.83014257073858,0.638830189524992,9.13186407447419e-06,1.66718376581887e-06,0.967327665793536
"USD","ARMA(0,0)",1,3,"norm",1.837943862834,1.8546437371994,0.707654671348404,0.0403432259144741,0.0148935663866132,0.957426155560396
"USD","ARMA(0,0)",1,3,"std",1.80151190010349,1.82099508686313,0.642351489679034,1.67755592797025e-05,3.16989329574024e-06,0.964208858300516
"USD","ARMA(0,0)",1,3,"sstd",1.80016976739121,1.82243626654508,0.637730754118357,1.15944763213749e-05,2.14520094954374e-06,0.965563800779311
"USD","ARMA(0,0)",2,3,"norm",1.83885347156652,1.85833665832616,0.706805448309538,0.0433919632024533,0.0161856571862314,0.955330738174635
